Model	PRAUC
cnn-lstm-imbalance-lr-1e-3	0.6542695510008525
cnn-lstm-imbalance-lr-1e-3	0.6162260202997776
cnn-lstm-imbalance-lr-1e-3	0.6474998185983525
cnn-lstm-imbalance-lr-1e-3	0.7013695584291104
cnn-lstm-imbalance-lr-1e-3	0.7067775332922963
cnn-lstm-imbalance-lr-1e-3	0.6964783230606761
cnn-lstm-imbalance-lr-1e-3	0.6971463624043219
cnn-lstm-imbalance-lr-1e-3	0.670303549553124
cnn-lstm-imbalance-lr-1e-3	0.6939378553989489
cnn-lstm-imbalance-lr-1e-3	0.6781129320407121
cnn-lstm-imbalance-lr-1e-3	0.7060698677887832
cnn-lstm-imbalance-lr-1e-3	0.6813181319014041
cnn-lstm-imbalance-lr-1e-3	0.6706252116717236
cnn-lstm-imbalance-lr-1e-3	0.686018155373917
cnn-lstm-imbalance-lr-1e-3	0.6472121986484631
cnn-lstm-imbalance-lr-1e-3	0.7033151518389373
cnn-lstm-imbalance-lr-1e-3	0.6860108637316045
cnn-lstm-imbalance-lr-1e-3	0.6884745137354895
cnn-lstm-imbalance-lr-1e-3	0.5850210876339295
cnn-lstm-imbalance-lr-1e-3	0.3935244290915089
cnn-lstm-imbalance-lr-1e-3	0.5993833705444682
cnn-lstm-imbalance-lr-1e-3	0.6983129615591932
cnn-lstm-imbalance-lr-1e-3	0.7105804243778996
cnn-lstm-imbalance-lr-1e-3	0.5588377925506881
cnn-lstm-imbalance-lr-1e-3	0.6752187116388828
cnn-lstm-imbalance-lr-1e-3	0.679757361998254
cnn-lstm-imbalance-lr-1e-3	0.7193081056676964
cnn-lstm-imbalance-lr-1e-3	0.7169444898014301
cnn-lstm-imbalance-lr-1e-3	0.5890130918838179
cnn-lstm-imbalance-lr-1e-3	0.6720591089687464
cnn-lstm-imbalance-lr-1e-3	0.6250921117233464
cnn-lstm-imbalance-lr-1e-3	0.6159135716604381
cnn-lstm-imbalance-lr-1e-3	0.6669460823974914
cnn-lstm-imbalance-lr-1e-3	0.4867059036397795
cnn-lstm-imbalance-lr-1e-3	0.6729852257703641
cnn-lstm-imbalance-lr-1e-3	0.6497896256971927
cnn-lstm-imbalance-lr-1e-3	0.6730564011469292
cnn-lstm-imbalance-lr-1e-3	0.6715918115578111
cnn-lstm-imbalance-lr-1e-3	0.7033160561091878
cnn-lstm-imbalance-lr-1e-3	0.6619249300248563
cnn-lstm-imbalance-lr-1e-3	0.6386624766143378
cnn-lstm-imbalance-lr-1e-3	0.7160780452412305
cnn-lstm-imbalance-lr-1e-3	0.705004753091157
cnn-lstm-imbalance-lr-1e-3	0.5569654245084454
cnn-lstm-imbalance-lr-1e-3	0.4914933489117148
cnn-lstm-imbalance-lr-1e-3	0.6400354473302857
cnn-lstm-imbalance-lr-1e-3	0.560501185433504
cnn-lstm-imbalance-lr-1e-3	0.7042518676397431
cnn-lstm-imbalance-lr-1e-3	0.6981740405575025
cnn-lstm-imbalance-lr-1e-3	0.617093853355925
cnn-lstm-imbalance-lr-1e-3	0.6444244667279908
cnn-lstm-imbalance-lr-1e-3	0.6955992170935116
cnn-lstm-imbalance-lr-1e-3	0.4856348585996638
cnn-lstm-imbalance-lr-1e-3	0.6900138880361846
cnn-lstm-imbalance-lr-1e-3	0.5113347491116238
cnn-lstm-imbalance-lr-1e-3	0.3507130660698522
cnn-lstm-imbalance-lr-1e-3	0.5826671345024268
