model	label	scc_mean	scc_std	pcc_mean	pcc_std	color	alpha
pcv2_1	valid	0.5786036158428778	0.001173140467825729	0.5664600219588141	0.0013669620710939565	C0	1.0
pcv2_1	test	0.6280776675082009	0.002817794622186028	0.6058017682323811	0.0015240485003376902	C0	1.0
agront	valid	0.5720576178008462	0.0021271184774872554	0.551331972399172	0.0026999563181643775	gray	1.0
agront	test	0.6157352747453416	0.0021512802088571865	0.5907091883803295	0.0013259006664791638	gray	1.0
sup_pcv2_1	valid	0.47647969891394554	0.013552987086162184	0.4668974089232883	0.013561926221473215	C1	1.0
sup_pcv2_1	test	0.5510649989515277	0.005026820433316679	0.5448652136905136	0.005821436431285092	C1	1.0
cnn_lstm	valid	0.48950291482499175	0.0066979081548661345	0.46456049252088844	0.007220947708674612	C1	0.5
cnn_lstm	test	0.5531915413159477	0.011296777251193458	0.5404787732191182	0.007721397619163937	C1	0.5
