context	split	scc_mean	scc_std	pcc_mean	pcc_std
2k	valid	0.5786036158428778	0.001173140467825729	0.5664600219588141	0.0013669620710939565
2k	test	0.6280776675082009	0.002817794622186028	0.6058017682323811	0.0015240485003376902
4k	valid	0.5926426075034836	0.0034154881927519966	0.5805541347765766	0.003705400348198847
4k	test	0.6395032122142477	0.0027556418501945477	0.6208257372052706	0.0019442028033481104
8k	valid	0.5819390521413187	0.008766140004113979	0.5631440971564137	0.013904068045428606
8k	test	0.6439942267523711	0.0039438530867149475	0.6224989167403812	0.003887415082722653
