model	label	auc_mean	auc_std	ap_mean	ap_std	color	alpha	baseline
pcv2_1	valid	0.8011108352542579	0.0012453279352689223	0.8919532497687686	0.0011273720751541344	C0	1.0	0.6869948567229978
pcv2_1	test	0.8208998240731871	0.0024902149846347775	0.9381997304676881	0.001020209199402107	C0	1.0	0.7613146673795919
agront	valid	0.8059354445371198	0.000620734489957979	0.8944149025843607	0.000532037791227739	gray	1.0	0.6869948567229978
agront	test	0.8186153528822684	0.0008980203450762757	0.9356038774763954	0.0004655114863465763	gray	1.0	0.7613146673795919
sup_pcv2_1	valid	0.7563167499971329	0.005526837651074474	0.8642951660478131	0.0032919436406068387	C1	1.0	0.6869948567229978
sup_pcv2_1	test	0.7667680813792442	0.012306106055737278	0.9138400566523126	0.005861494338796639	C1	1.0	0.7613146673795919
cnn_lstm	valid	0.7598920872786288	0.0018607590915734227	0.8636164158071076	0.002102845813005336	C1	0.5	0.6869948567229978
cnn_lstm	test	0.7705997003919143	0.008355008404059897	0.9148042638984097	0.0038727441477515463	C1	0.5	0.7613146673795919
