context	split	auc_mean	auc_std	ap_mean	ap_std
2k	valid	0.8011108352542579	0.0012453279352689223	0.8919532497687686	0.0011273720751541344
2k	test	0.8208998240731871	0.0024902149846347775	0.9381997304676881	0.001020209199402107
4k	valid	0.8052707391131346	0.0007310827181543432	0.8947739452029746	0.001019700658516682
4k	test	0.8336908547796578	0.0008281712818193878	0.9434699389145923	0.0005713286248794284
8k	valid	0.8079118703481256	0.0029883203030123978	0.8970896531848226	0.0023366673455583026
8k	test	0.8417654424548309	0.004067182212383494	0.946171308650556	0.0018861378540792507
