assembly	accuracy	total_masked_tokens	correct_predictions	total_predictions
Acoerulea	0.6271	8470331	5312031	8470331
Acomosus	0.6656	9336587	6214118	9336587
Ahypochondriacus	0.6684	9187070	6140506	9187070
Ahypogaea	0.6861	9039807	6202439	9039807
Aofficinalis	0.6888	10310888	7101704	10310888
Athaliana	0.6652	7795475	5185864	7795475
Bdistachyon	0.6208	8605765	5342522	8605765
Bplatyphylla	0.6861	9258747	6352445	9258747
Bstricta	0.6686	6511289	4353688	6511289
Bvulgaris	0.6715	9887868	6639663	9887868
Carabica	0.6046	8817589	5331217	8817589
Carietinum	0.6864	7984982	5480627	7984982
Cavellana	0.6875	8973261	6169231	8973261
Ccitriodora	0.6079	8222954	4998595	8222954
Cclementina	0.6487	8392857	5444182	8392857
Cillinoinensis	0.6455	9194030	5934679	9194030
Ckanehirae	0.6416	11308214	7255802	11308214
Cquinoa	0.6577	9509575	6254541	9509575
Crubella	0.6632	7870962	5220177	7870962
Csativus	0.602	7790839	4689900	7790839
Dalata	0.6333	8743340	5537256	8743340
Dcarota	0.632	8881013	5612934	8881013
Ecoracana	0.6181	8571093	5297892	8571093
Egrandis	0.6109	7902839	4827882	7902839
Esalsugineum	0.6667	8080199	5387339	8080199
Fvesca	0.6456	8343436	5386598	8343436
Gmax	0.6294	9104511	5730670	9104511
Hannuus	0.7239	8628865	6246283	8628865
Hvulgare	0.7272	8524992	6199009	8524992
Lalbus	0.6484	8546857	5541920	8546857
Lervoides	0.7242	8927405	6465236	8927405
Ljaponicus	0.6594	9240096	6092503	9240096
Lsativa	0.6918	7589673	5250169	7589673
Lusitatissimum	0.6187	7321479	4529584	7321479
Macuminata	0.5796	8098777	4694222	8098777
Mdomestica	0.675	8432098	5691328	8432098
Mesculenta	0.6565	9075153	5957514	9075153
Msinensis	0.6718	6702379	4502571	6702379
Mtruncatula	0.6722	7915529	5320597	7915529
Ncolorata	0.5902	9770373	5766283	9770373
Oeuropaea	0.6907	6823429	4713173	6823429
Osativa	0.6581	8296111	5459531	8296111
Othomaeum	0.6119	8214120	5026442	8214120
Pamilis	0.6958	8240500	5733701	8240500
Ppersica	0.6457	8327141	5377002	8327141
Ptrichocarpa	0.6313	8689007	5485096	8689007
Ptrifoliata	0.6486	8625592	5594148	8625592
Pvaginatum	0.6348	8603755	5461916	8603755
Pvirgatum	0.6634	8365015	5548999	8365015
Qrubra	0.6627	9445008	6259125	9445008
Rcommunis	0.6115	6369736	3895176	6369736
Sbicolor	0.6586	8754987	5766167	8754987
Soleracea	0.7413	9273774	6874214	9273774
Sparvula	0.6533	7714432	5039862	7714432
Spolyrhiza	0.5855	6271464	3672118	6271464
Spurpurea	0.6461	8527717	5509791	8527717
Sviridis	0.6363	8197972	5216004	8197972
Taestivum	0.6886	8422549	5799624	8422549
Tintermedium	0.6802	8790635	5979122	8790635
Vdarrowii	0.6583	9691357	6379836	9691357
Vfaba	0.7417	8647139	6413162	8647139
Vunguiculata	0.6442	8867263	5711936	8867263
Vvinifera	0.6464	9249145	5979030	9249145
Zmarina	0.694	8992049	6240080	8992049
Zmays	0.7103	9176245	6518195	9176245
