assembly	accuracy	total_masked_tokens	correct_predictions	total_predictions
Acoerulea	0.5779	8473098	4896545	8473098
Acomosus	0.6144	9340569	5738677	9340569
Ahypochondriacus	0.6168	9192458	5670326	9192458
Ahypogaea	0.6186	9045978	5595624	9045978
Aofficinalis	0.6276	10310246	6470881	10310246
Athaliana	0.5827	7790551	4539784	7790551
Bdistachyon	0.5661	8602612	4870047	8602612
Bplatyphylla	0.6205	9253867	5741897	9253867
Bstricta	0.5846	6513287	3807571	6513287
Bvulgaris	0.6127	9897165	6063879	9897165
Carabica	0.5571	8822302	4914658	8822302
Carietinum	0.6271	7985313	5007370	7985313
Cavellana	0.6257	8971923	5613802	8971923
Ccitriodora	0.5597	8227519	4604747	8227519
Cclementina	0.5858	8395273	4917781	8395273
Cillinoinensis	0.5921	9188869	5440834	9188869
Ckanehirae	0.5822	11301570	6579624	11301570
Cquinoa	0.6012	9504456	5714074	9504456
Crubella	0.5833	7868449	4589679	7868449
Csativus	0.5586	7789930	4351101	7789930
Dalata	0.5857	8741545	5119648	8741545
Dcarota	0.5848	8875802	5190715	8875802
Ecoracana	0.5646	8572240	4840025	8572240
Egrandis	0.5603	7901550	4427364	7901550
Esalsugineum	0.5866	8083702	4742156	8083702
Fvesca	0.5851	8349084	4885217	8349084
Gmax	0.5759	9112247	5247378	9112247
Hannuus	0.6597	8638848	5698640	8638848
Hvulgare	0.6631	8524931	5652839	8524931
Lalbus	0.5956	8549212	5092161	8549212
Lervoides	0.6451	8926004	5758549	8926004
Ljaponicus	0.5975	9243976	5523212	9243976
Lsativa	0.6282	7583569	4763663	7583569
Lusitatissimum	0.5625	7324300	4120247	7324300
Macuminata	0.5442	8099907	4407732	8099907
Mdomestica	0.6151	8434604	5188312	8434604
Mesculenta	0.6019	9075301	5462182	9075301
Msinensis	0.6082	6703768	4077216	6703768
Mtruncatula	0.6132	7908985	4849416	7908985
Ncolorata	0.5499	9773512	5374449	9773512
Oeuropaea	0.6298	6821852	4296401	6821852
Osativa	0.6052	8296412	5021154	8296412
Othomaeum	0.5550	8207064	4554588	8207064
Pamilis	0.6364	8244652	5247145	8244652
Ppersica	0.5880	8324296	4894730	8324296
Ptrichocarpa	0.5795	8693042	5037620	8693042
Ptrifoliata	0.5855	8626093	5050785	8626093
Pvaginatum	0.5765	8603235	4959556	8603235
Pvirgatum	0.6022	8364613	5036753	8364613
Qrubra	0.6029	9453599	5699652	9453599
Rcommunis	0.5612	6370956	3575206	6370956
Sbicolor	0.5998	8755211	5251342	8755211
Soleracea	0.6768	9275372	6277835	9275372
Sparvula	0.5728	7716796	4420428	7716796
Spolyrhiza	0.5440	6275503	3413897	6275503
Spurpurea	0.5860	8529057	4998174	8529057
Sviridis	0.5767	8194763	4726325	8194763
Taestivum	0.6247	8425441	5263321	8425441
Tintermedium	0.6184	8787722	5434188	8787722
Vdarrowii	0.5956	9686159	5768633	9686159
Vfaba	0.6633	8645917	5734985	8645917
Vunguiculata	0.5923	8866489	5251271	8866489
Vvinifera	0.5899	9246350	5454561	9246350
Zmarina	0.6287	8990050	5651787	8990050
Zmays	0.6422	9172658	5890578	9172658
