Dataset	PlantCAD	PlantCAD2-S	PlantCAD2-M	PlantCAD2-L	Evo2-fwd	Evo2-rc	GPN
start_sites	0.5204	0.5449	0.6325	0.6571	0.0938	0.4472	0.1271
stop_sites	0.2373	0.2302	0.3601	0.4096	0.2561	0.0649	0.0333
donor	0.8486	0.8754	0.9031	0.9104	0.7413	0.2728	0.6407
acceptor	0.8289	0.8537	0.8898	0.8996	0.3070	0.7377	0.6427
