	AUC	AP
pcv1	0.8465249788110015	0.8110603529021023
pcv2_small	0.7981948387027216	0.782319619418019
pcv2_medium	0.8370900260614765	0.8202898896911859
pcv2_large	0.8485913956544677	0.8306370624496273
evo2	0.8376246840212523	0.7500350011030303
gpn	0.7558144514004776	0.7004006044338834
