model	orthogroup	scc	count
agront	3I2EZ	0.5862267768885632	93.0
agront	3I2F0	-0.2842402177106157	52.0
agront	3I2F2	0.6240201253348463	47.0
agront	3I2F4	-0.28645822521764785	59.0
agront	3I2F5	0.47309465796762357	35.0
agront	3I2F6	0.1605324921352865	24.0
agront	3I2F7	-0.07499283770467308	26.0
agront	3I2F8	0.08370811964219646	26.0
agront	3I2F9	-0.06962651928986242	60.0
agront	3I2FB	0.7685455155469606	77.0
agront	3I2FC	-0.16073872349045917	26.0
agront	3I2FD	-0.45859024854483305	26.0
agront	3I2FE	0.2046941282721827	25.0
agront	3I2FF	-0.00856589010021202	24.0
agront	3I2FG	0.18603199664035247	26.0
agront	3I2FH	0.02133633126894261	35.0
agront	3I2FI	-0.08935304509386172	26.0
agront	3I2FK	-0.04009805319343176	30.0
agront	3I2FM	0.15010324204692022	26.0
agront	3I2FN	-0.2665854536064189	27.0
agront	3I2FP	0.09717710997794014	26.0
agront	3I2FQ	0.6853609411185102	38.0
agront	3I2FR	0.1806530111682699	51.0
agront	3I2FS	0.6045621296222868	59.0
agront	3I2FT	-0.45995786367549524	52.0
agront	3I2FU	0.049842542148674396	28.0
agront	3I2FW	0.6076211502589272	101.0
agront	3I2FX	-0.2708024403136713	26.0
agront	3I2FY	0.05947326387450792	27.0
agront	3I2FZ	0.15168042289343264	50.0
agront	3I2G0	0.6652722742809686	88.0
agront	3I2G2	0.8146862361258385	69.0
agront	3I2G3	0.28002227492987014	30.0
agront	3I2G4	0.09139231774772383	52.0
agront	3I2G5	0.44625796935457684	88.0
agront	3I2G6	0.13040969658430582	25.0
agront	3I2G7	0.7136020042517337	83.0
agront	3I2G8	0.6176147118730271	52.0
agront	3I2G9	0.07593638762486407	26.0
agront	3I2GA	0.6444778750161952	43.0
agront	3I2GB	-0.2729605284893763	26.0
agront	3I2GC	-0.22833695811548194	26.0
agront	3I2GD	0.07649293184230935	25.0
agront	3I2GE	-0.00884862033317081	52.0
agront	3I2GF	-0.7212761289387976	52.0
agront	3I2GG	0.7490493023521428	52.0
agront	3I2GI	0.47304296442517113	58.0
agront	3I2GJ	0.1794871794871795	27.0
agront	3I2GK	-0.1840417925126883	27.0
agront	3I2GM	0.16344674542181498	26.0
agront	3I2GN	0.7480476610596757	79.0
agront	3I2GQ	0.36744871656163836	26.0
agront	3I2GR	0.3032715252036325	27.0
agront	3I2GS	0.3017627027248099	74.0
agront	3I2GT	0.03164491117151707	52.0
agront	3I2GU	0.7711548375178626	53.0
agront	3I2GV	0.31290524567632627	50.0
agront	3I2GW	0.49470049349794826	56.0
agront	3I2GX	0.7106858217816393	31.0
agront	3I2GZ	-0.37168956577831197	27.0
agront	3I2H0	0.729054752293263	55.0
agront	3I2H1	-0.08811948630244933	51.0
agront	3I2H2	0.24283256004001952	27.0
agront	3I2H3	-0.3276459352226834	23.0
agront	3I2H4	0.271683593549454	27.0
agront	3I2H5	0.40109475547136764	122.0
agront	3I2H6	-0.3064775973384878	29.0
agront	3I2H7	0.21947041020493152	26.0
agront	3I2H8	-0.43320236103192516	31.0
agront	3I2HA	0.36692037391901167	33.0
agront	3I2HC	0.20660501117741586	93.0
agront	3I2HD	-0.11543761539370834	49.0
agront	3I2HE	0.4671938418115028	36.0
agront	3I2HF	-0.2232165100608083	26.0
agront	3I2HG	0.6827098494574454	69.0
agront	3I2HH	0.37221529570480705	26.0
agront	3I2HJ	-0.07185187184269326	26.0
agront	3I2HK	-0.26239325362496263	26.0
agront	3I2HM	0.4047364400305577	34.0
agront	3I2HN	0.7608277758929544	124.0
agront	3I2HP	0.5352328577521571	26.0
agront	3I2HQ	0.05792574948600536	51.0
agront	3I2HR	-0.32064624603247244	26.0
agront	3I2HS	0.1324117731687587	25.0
agront	3I2HT	0.20060370512768652	26.0
agront	3I2HU	0.6386946180836945	51.0
agront	3I2HW	0.14160869330662448	26.0
agront	3I2HX	-0.3109046281848122	26.0
agront	3I2HZ	0.5128174135662669	52.0
agront	3I2I0	0.43691044172327453	28.0
agront	3I2I1	0.08170940170940172	26.0
agront	3I2I3	0.431931255918145	36.0
agront	3I2I4	-0.5384570668052343	48.0
agront	3I2I5	0.18099436602983812	52.0
agront	3I2I6	0.6165383303960947	47.0
agront	3I2I7	-0.375424370880675	27.0
agront	3I2I8	0.25598978800767425	32.0
agront	3I2I9	0.6091746946475622	53.0
agront	3I2IA	0.08921373346838361	58.0
agront	3I2IB	0.7853612271573988	48.0
agront	3I2IC	0.8220330281702953	52.0
agront	3I2ID	-0.6053621742266189	26.0
agront	3I2IE	0.6740253941303137	52.0
agront	3I2IF	0.1514503887396022	27.0
agront	3I2IG	0.45208431514286357	71.0
agront	3I2IH	-0.3258102701299482	52.0
agront	3I2II	0.22295270906981168	73.0
agront	3I2IJ	0.7619729297139396	65.0
agront	3I2IN	0.31458759646100765	26.0
agront	3I2IP	0.11525308471549944	26.0
agront	3I2IQ	-0.6249461062507273	52.0
agront	3I2IR	0.3197127760866046	26.0
agront	3I2IT	0.12	26.0
agront	3I2IV	0.3149788840438602	26.0
agront	3I2IW	0.8023447876779508	68.0
agront	3I2IX	0.7994668208933854	117.0
agront	3I2IZ	-0.036929390178987484	26.0
agront	3I2J0	0.3780688669587227	56.0
agront	3I2J1	0.17753304167303022	50.0
agront	3I2J2	0.6390728725569133	87.0
agront	3I2J3	0.14255170939171696	63.0
agront	3I2J4	0.43307127219821867	26.0
agront	3I2J5	0.5594562050170253	51.0
agront	3I2J6	-0.01820387077220271	26.0
agront	3I2J7	0.627932294399346	52.0
agront	3I2J8	-0.5901956345076833	52.0
agront	3I2J9	0.08535946900445691	52.0
agront	3I2JA	-0.15787917987036995	52.0
agront	3I2JB	-0.3332514307236793	26.0
agront	3I2JC	0.17066532999855316	26.0
agront	3I2JD	-0.1111681350364001	26.0
agront	3I2JE	0.5460471411721918	33.0
agront	3I2JF	-0.2195419949672863	27.0
agront	3I2JG	0.4087309327171279	28.0
agront	3I2JH	0.433002103151133	195.0
agront	3I2JI	-0.3122221345808502	26.0
agront	3I2JJ	-0.019197878164030163	26.0
agront	3I2JK	0.2546845419961777	29.0
agront	3I2JM	0.21953937241629465	32.0
agront	3I2JP	0.704586840841868	53.0
agront	3I2JQ	0.3258796918546451	108.0
agront	3I2JR	-0.3795657905806391	52.0
agront	3I2JS	0.7065586500468437	53.0
agront	3I2JT	0.5513416192352933	76.0
agront	3I2JU	0.32181871490525066	30.0
agront	3I2JV	-0.28855463425458183	26.0
agront	3I2JW	0.732816253476781	51.0
agront	3I2JX	0.14916864024527385	26.0
agront	3I2JY	0.14310328452230428	26.0
agront	3I2JZ	0.783706020041457	134.0
agront	3I2K0	-0.08657214769866667	52.0
agront	3I2K1	-0.40102666512023194	26.0
agront	3I2K2	0.08955235394263579	29.0
agront	3I2K4	0.24113709950412002	27.0
agront	3I2K5	-0.4388046885556839	52.0
agront	3I2K6	0.3109146991568748	52.0
agront	3I2K7	0.07691880487073947	26.0
agront	3I2K8	-0.5220628782623092	52.0
agront	3I2K9	0.13471823082537127	27.0
agront	3I2KA	0.6448681325538868	85.0
agront	3I2KB	0.767109257882259	52.0
agront	3I2KC	0.8283717895158003	110.0
agront	3I2KD	0.4582002739726521	61.0
agront	3I2KE	0.369169207040561	233.0
agront	3I2KF	0.40166551347277774	44.0
agront	3I2KG	0.0636398708107116	52.0
agront	3I2KH	0.060807151689414314	53.0
agront	3I2KJ	0.20651149001862532	26.0
agront	3I2KK	0.2023614176292748	25.0
agront	3I2KM	0.31584930794442384	28.0
agront	3I2KN	-0.4042373327997431	26.0
agront	3I2KP	0.08946915953388132	51.0
agront	3I2KQ	0.39110222771842595	83.0
agront	3I2KS	0.1605931255936398	59.0
agront	3I2KT	-0.17571919685132487	42.0
agront	3I2KU	0.8318316553620643	46.0
agront	3I2KV	0.14995692094482352	24.0
agront	3I2KW	0.6031143712171967	49.0
agront	3I2KY	0.69484136435868	80.0
agront	3I2KZ	0.3529705779811308	42.0
agront	3I2M1	0.10984730602785411	21.0
agront	3I2M3	0.08726706844398721	28.0
agront	3I2M4	-0.2658348766192091	30.0
agront	3I2M5	0.15072766784769348	98.0
agront	3I2M6	0.06916506519226732	52.0
agront	3I2M7	0.03743201345552573	24.0
agront	3I2M8	-0.35499318081509923	26.0
agront	3I2M9	0.32640596490175255	73.0
agront	3I2MA	-0.2011288104658562	26.0
agront	3I2MC	-0.09660123128044916	52.0
agront	3I2MD	0.23506059223348943	27.0
agront	3I2ME	-0.3641040884771481	26.0
agront	3I2MF	0.5624745492395604	51.0
agront	3I2MG	0.4827233425566619	26.0
agront	3I2MH	-0.22644093967414422	26.0
agront	3I2MI	0.09083149121726201	26.0
agront	3I2MJ	-0.10273987664775279	26.0
agront	3I2MK	0.21655838117531326	26.0
agront	3I2MM	0.08676345289001383	52.0
agront	3I2MP	0.2013508907927459	25.0
agront	3I2MQ	0.7092134890619476	51.0
agront	3I2MR	0.19611446446371095	61.0
agront	3I2MS	0.1969532947004728	52.0
agront	3I2MT	0.24150634044045097	54.0
agront	3I2MU	-0.5333523202530341	51.0
agront	3I2MV	0.048971069175169656	53.0
agront	3I2MW	-0.04747465682424454	51.0
agront	3I2MX	0.6683122529408715	27.0
agront	3I2MY	0.4198107781817947	26.0
agront	3I2MZ	0.23952810996466917	26.0
agront	3I2N0	0.003770363786376914	26.0
agront	3I2N1	0.1820048322042127	26.0
agront	3I2N2	-0.16786324786324786	26.0
agront	3I2N3	0.27616994997617184	26.0
agront	3I2N4	0.5654182375851367	26.0
agront	3I2N5	-0.07745860535318302	23.0
agront	3I2N6	0.7328779856455682	117.0
agront	3I2N7	0.2416779313575353	25.0
agront	3I2N8	0.421562107691367	26.0
agront	3I2N9	-0.6182546287423469	26.0
agront	3I2NA	0.11851365438672928	26.0
agront	3I2NB	0.5153899070215361	26.0
agront	3I2NC	0.7755968390380888	73.0
agront	3I2ND	-0.20519837041335212	26.0
agront	3I2NE	-0.30395150121444436	27.0
agront	3I2NG	0.1613473158237962	66.0
agront	3I2NH	0.06894403122480854	60.0
agront	3I2NJ	-0.4496450786197367	53.0
agront	3I2NK	0.4354785980802392	73.0
agront	3I2NM	0.2961571366654791	25.0
agront	3I2NN	-0.12299876290954967	52.0
agront	3I2NP	0.1652188100525772	26.0
agront	3I2NQ	-0.16711545032628597	59.0
agront	3I2NR	0.7122241507314018	57.0
agront	3I2NS	0.055039237052334336	52.0
agront	3I2NT	0.41881637305441155	26.0
agront	3I2NU	-0.0023260217331925554	23.0
agront	3I2NV	0.5998697279114081	37.0
agront	3I2NW	-0.4479237980988893	26.0
agront	3I2NX	-0.23951131336116993	27.0
agront	3I2NY	0.48336819197501363	31.0
agront	3I2P0	0.6529319066878734	68.0
agront	3I2P1	0.07881474728559135	27.0
agront	3I2P2	0.05238060920808233	54.0
agront	3I2P3	0.7574783610120662	65.0
agront	3I2P4	-0.46943543265267235	55.0
agront	3I2P5	-0.03463098278327859	27.0
agront	3I2P6	-0.06711187559268204	26.0
agront	3I2P7	0.6950834826408071	43.0
agront	3I2P8	0.08870694575831534	26.0
agront	3I2PA	0.8217300875581727	43.0
agront	3I2PB	0.15365233093060382	29.0
agront	3I2PC	0.03721010953269774	26.0
agront	3I2PD	0.8179880533483331	53.0
agront	3I2PE	0.23383738074400373	57.0
agront	3I2PF	0.5739228707965077	53.0
agront	3I2PG	0.6581658589196422	82.0
agront	3I2PH	0.17337640135342586	29.0
agront	3I2PI	0.7212419190872069	45.0
agront	3I2PJ	0.6590881083586984	35.0
agront	3I2PM	0.13756739694512435	26.0
agront	3I2PN	0.11888471444956518	26.0
agront	3I2PP	-0.007392197194519964	28.0
agront	3I2PQ	0.04948519350518411	26.0
agront	3I2PR	0.5080097050348606	53.0
agront	3I2PS	0.08098434904981905	26.0
agront	3I2PT	0.14147501018529937	52.0
agront	3I2PU	0.0372968485478714	26.0
agront	3I2PV	-0.03505902242092289	26.0
agront	3I2PW	0.47221401346346575	52.0
agront	3I2PX	0.4358651758928115	52.0
agront	3I2PY	-0.10424837266191193	44.0
agront	3I2PZ	0.2138412505862329	78.0
agront	3I2Q0	0.6071606974649422	52.0
agront	3I2Q1	0.06426202212131547	26.0
agront	3I2Q2	0.21958625802248397	26.0
agront	3I2Q3	0.10466907483427211	26.0
agront	3I2Q6	0.4249087416448631	40.0
agront	3I2Q7	0.3493114080624053	54.0
agront	3I2Q8	-0.021218344842844454	26.0
agront	3I2Q9	-0.19168472409544116	27.0
agront	3I2QA	0.22119658119658114	26.0
agront	3I2QB	-0.10287898911199171	26.0
agront	3I2QC	-0.14742604984827215	26.0
agront	3I2QE	-0.04549245824804658	26.0
agront	3I2QF	-0.12074534878137728	25.0
agront	3I2QG	-0.17313949876351312	26.0
agront	3I2QH	0.8150747063735374	52.0
agront	3I2QI	0.5561784802892101	232.0
agront	3I2QJ	0.17650234249438557	80.0
agront	3I2QK	0.07375537355354236	26.0
agront	3I2QM	-0.2366844493732131	26.0
agront	3I2QN	-0.2517588143544068	98.0
agront	3I2QP	-0.09112912956008819	53.0
agront	3I2QQ	0.6571739102826788	54.0
agront	3I2QR	-0.20851177753762068	26.0
agront	3I2QS	0.3509617208891927	98.0
