locus
unknown.5.50
axillary_meristem.5.51
parenchyma.5.52
axillary_L1_layer.5.53
ground_meristem.5.54
axillary_provascular_strands.5.55
unknown.5.56
axillary_meristem_L1_layer.5.57
pith_parenchyma.1.1
endodermis.1.10
procambial.1.11
unknown.2.19
LRC.1.2
exodermis.2.21
xylem_parenchyma.2.23
atrichoblast.1.3
cortex.1.4
cortex.1.5
cortex.6.58
QC.6.59
vascular_parenchyma.1.6
procambial_phloem_SE_precursors.6.60
phloem_sieve_element_precursors.6.61
cortex_endodermis_initials.6.62
trichoblast.6.63
proximal_meristem.6.64
columella/epidermal_initials.6.65
companion_cell.6.66
phloem_sieve_element.1.7
vascular_sclerenchyma.1.8
xylem.1.9
unknown.2.18
suppressed_bract_primordia.2.22
glume_primordia.2.27
spikelet_meristem.4.42
floral_meristem.4.43
spikelet_pair_meristem.4.44
epidermal.4.45
floral_primordia.4.47
provascular_inflorescence_strands.4.48
inflorescence_meristem.4.49
unknown.2.12
bundle_sheath.2.13
mesophyll.2.14
bulliform.2.15
bundle_sheath.2.16
unknown.2.17
mesophyll.2.20
unknown.2.25
bulliform.2.26
L1_SAM.4.46
leaf_provascular.7.67
subsidiary.7.68
ground_meristem.7.69
subsidiary.7.70
guard_mother_cell.7.71
protoderm.7.72
vascular_epidermal_meristem_identity.7.73
guard_cell.7.74
stomatal_precursor.7.75
unknown.8.82
bulliform.9.84
unknown.9.85
stomatal_precursor.9.86
guard_cell.9.87
unknown.9.88
L1_leaf_primordia.9.89
parenchyma.10.90
parenchyma.10.91
unknown.10.92
vascular_parenchyma.2.24
mixed.3.28
unknown.3.29
lateral_root_epidermis.3.30
unknown.3.31
phloem_sieve_element_precursors.3.32
pericycle.3.33
unknown.3.34
trichoblast.3.35
epidermal_initials.3.36
protophloem.3.37
xylem_precursors.3.38
QC.3.39
proximal_meristem.3.40
unknown.3.41
spikelet_meristem_spikelet_pair_meristem.8.76
spikelet_meristem.8.77
lower_floral_meristem.8.78
floral_primordia.8.79
glume_primordia.8.80
inflorescence_meristem.8.81
spikelet_meristem.8.83
