species	context	model	ap	color	alpha	baseline
phaseolus_vulgaris	c300	pcv2-l48-d1024	0.2960177825693796	C0	0.7	0.011097970801365636
phaseolus_vulgaris	c300	pcv2-l48-d1536	0.029267286366027073	C0	1.0	0.011097970801365636
phaseolus_vulgaris	c300	agront	0.22382212630412823	gray	1.0	0.011097970801365636
phaseolus_vulgaris	c300	sup_pcv2-l24-d0768	0.022915939839542637	C1	1.0	0.011097970801365636
phaseolus_vulgaris	c300	cnn-lstm	0.09362340937369762	C1	0.5	0.011097970801365636
phaseolus_vulgaris	c600	pcv2-l24-d0768	0.4719488734047137	C0	0.4	0.022224554406954575
phaseolus_vulgaris	c600	pcv2-l48-d1024	0.4767038241332022	C0	0.7	0.022224554406954575
phaseolus_vulgaris	c600	pcv2-l48-d1536	0.4853953964647907	C0	1.0	0.022224554406954575
phaseolus_vulgaris	c600	agront	0.4367082419019372	gray	1.0	0.022224554406954575
phaseolus_vulgaris	c600	sup_pcv2-l24-d0768	0.2701510101589989	C1	1.0	0.022224554406954575
phaseolus_vulgaris	c600	cnn-lstm	0.21477034871777534	C1	0.5	0.022224554406954575
phaseolus_vulgaris	c1000	pcv2-l24-d0768	0.6035263659375856	C0	0.4	0.037133279579234256
phaseolus_vulgaris	c1000	pcv2-l48-d1024	0.5716208692610434	C0	0.7	0.037133279579234256
phaseolus_vulgaris	c1000	pcv2-l48-d1536	0.5694113938156067	C0	1.0	0.037133279579234256
phaseolus_vulgaris	c1000	agront	0.5678859308319477	gray	1.0	0.037133279579234256
phaseolus_vulgaris	c1000	sup_pcv2-l24-d0768	0.37134864053142913	C1	1.0	0.037133279579234256
phaseolus_vulgaris	c1000	cnn-lstm	0.31222017591550577	C1	0.5	0.037133279579234256
glycine_max	c300	pcv2-l24-d0768	0.3187114592674032	C0	0.4	0.007492286943296884
glycine_max	c300	pcv2-l48-d1024	0.3408889913021496	C0	0.7	0.007492286943296884
glycine_max	c300	pcv2-l48-d1536	0.01914711143876106	C0	1.0	0.007492286943296884
glycine_max	c300	agront	0.22951144514641697	gray	1.0	0.007492286943296884
glycine_max	c300	sup_pcv2-l24-d0768	0.014517212119577983	C1	1.0	0.007492286943296884
glycine_max	c300	cnn-lstm	0.06355222073452382	C1	0.5	0.007492286943296884
glycine_max	c600	pcv2-l24-d0768	0.496623761522076	C0	0.4	0.015005971587489788
glycine_max	c600	pcv2-l48-d1024	0.4948356658718263	C0	0.7	0.015005971587489788
glycine_max	c600	pcv2-l48-d1536	0.511135506530132	C0	1.0	0.015005971587489788
glycine_max	c600	agront	0.4158883258794689	gray	1.0	0.015005971587489788
glycine_max	c600	sup_pcv2-l24-d0768	0.20171499232013743	C1	1.0	0.015005971587489788
glycine_max	c600	cnn-lstm	0.1666597386679372	C1	0.5	0.015005971587489788
glycine_max	c1000	pcv2-l24-d0768	0.6031576378054161	C0	0.4	0.02508232239738556
glycine_max	c1000	pcv2-l48-d1024	0.5591340621289338	C0	0.7	0.02508232239738556
glycine_max	c1000	pcv2-l48-d1536	0.5804633914864284	C0	1.0	0.02508232239738556
glycine_max	c1000	agront	0.5352381835162672	gray	1.0	0.02508232239738556
glycine_max	c1000	sup_pcv2-l24-d0768	0.306797993502596	C1	1.0	0.02508232239738556
glycine_max	c1000	cnn-lstm	0.2541814343187109	C1	0.5	0.02508232239738556
brachypodium_distachyon	c300	pcv2-l24-d0768	0.08930260045317076	C0	0.4	0.015779887330047128
brachypodium_distachyon	c300	pcv2-l48-d1024	0.12569711628521613	C0	0.7	0.015779887330047128
brachypodium_distachyon	c300	pcv2-l48-d1536	0.10431067809811154	C0	1.0	0.015779887330047128
brachypodium_distachyon	c300	agront	0.07099170746540445	gray	1.0	0.015779887330047128
brachypodium_distachyon	c300	sup_pcv2-l24-d0768	0.028212263451678314	C1	1.0	0.015779887330047128
brachypodium_distachyon	c300	cnn-lstm	0.02477300561467394	C1	0.5	0.015779887330047128
brachypodium_distachyon	c600	pcv2-l24-d0768	0.2761467208910746	C0	0.4	0.03155342545539921
brachypodium_distachyon	c600	pcv2-l48-d1024	0.20557444449017848	C0	0.7	0.03155342545539921
brachypodium_distachyon	c600	pcv2-l48-d1536	0.29767575242075867	C0	1.0	0.03155342545539921
brachypodium_distachyon	c600	agront	0.21683497059228946	gray	1.0	0.03155342545539921
brachypodium_distachyon	c600	sup_pcv2-l24-d0768	0.05680857491053218	C1	1.0	0.03155342545539921
brachypodium_distachyon	c600	cnn-lstm	0.05808785986620889	C1	0.5	0.03155342545539921
brachypodium_distachyon	c1000	pcv2-l24-d0768	0.4365072639011249	C0	0.4	0.05271859759319936
brachypodium_distachyon	c1000	pcv2-l48-d1024	0.4741436288205013	C0	0.7	0.05271859759319936
brachypodium_distachyon	c1000	pcv2-l48-d1536	0.4165470579746019	C0	1.0	0.05271859759319936
brachypodium_distachyon	c1000	agront	0.36264414386371535	gray	1.0	0.05271859759319936
brachypodium_distachyon	c1000	sup_pcv2-l24-d0768	0.0735964410291259	C1	1.0	0.05271859759319936
brachypodium_distachyon	c1000	cnn-lstm	0.10593332708541242	C1	0.5	0.05271859759319936
hordeum_vulgare	c300	pcv2-l24-d0768	0.013656809601516693	C0	0.4	0.0020074846128281323
hordeum_vulgare	c300	pcv2-l48-d1024	0.026548193831182308	C0	0.7	0.0020074846128281323
hordeum_vulgare	c300	pcv2-l48-d1536	0.003880961377581837	C0	1.0	0.0020074846128281323
hordeum_vulgare	c300	agront	0.011677931526329512	gray	1.0	0.0020074846128281323
hordeum_vulgare	c300	sup_pcv2-l24-d0768	0.003085346575534713	C1	1.0	0.0020074846128281323
hordeum_vulgare	c300	cnn-lstm	0.003210948604442284	C1	0.5	0.0020074846128281323
hordeum_vulgare	c600	pcv2-l24-d0768	0.11429095246085694	C0	0.4	0.004014915456939465
